City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,karratha,-20.7377,116.8463,26.22,32,67,4.5,AU,1733177112
151,eureka,40.8021,-124.1637,16.81,61,22,0.45,US,1733177092
152,wenshui,28.4506,106.5267,7.9,95,100,1.32,CN,1733177115
153,kodiak,57.79,-152.4072,1.73,100,100,2.06,US,1733177116
154,vernon,50.2581,-119.2691,4.31,71,49,3.6,CA,1733177016
155,prince rupert,54.3161,-130.3201,8.83,93,100,18.01,CA,1733177118
156,vorsma,55.9856,43.2717,-3.01,92,22,4.03,RU,1733177121
157,remire-montjoly,4.9167,-52.2667,24.02,100,75,1.54,GF,1733177122
158,colares,38.7992,-9.4469,15.5,81,88,8.14,PT,1733177124
159,viana do castelo,41.6932,-8.8329,12.76,87,86,4.08,PT,1733177125
160,opuwo,-18.0607,13.84,23.33,23,0,3.2,NA,1733177126
161,dubbo,-32.25,148.6167,22.07,88,100,2.06,AU,1733176882
162,sussex,41.1834,-74.6663,-0.4,67,0,0.0,US,1733177131
163,cestos city,5.46,-9.5828,26.41,82,13,2.95,LR,1733177132
164,soe,-9.8607,124.284,21.4,94,99,0.88,ID,1733177134
165,santanyi,39.3546,3.1291,15.48,89,11,3.33,ES,1733177135
166,nar'yan-mar,67.6713,53.087,2.51,98,100,10.5,RU,1733176856
167,chonchi,-42.6128,-73.8092,13.95,54,46,2.34,CL,1733177137
168,edd,13.9297,41.6925,27.46,69,56,4.97,ER,1733177138
169,queenstown,-31.8976,26.8753,13.6,95,45,0.9,ZA,1733176878
170,ta`u,-14.2336,-169.5144,28.14,78,26,7.11,AS,1733177140
171,kununurra,-15.7667,128.7333,23.99,83,100,5.14,AU,1733177142
172,whitehorse,60.7161,-135.0538,-16.66,78,75,3.09,CA,1733177143
173,coahuayana de hidalgo,18.7,-103.6583,29.5,59,0,2.12,MX,1733177144
174,ghanzi,-21.5667,21.7833,25.59,24,31,2.4,BW,1733177146
175,juneau,58.3019,-134.4197,1.0,93,100,0.0,US,1733177148
176,saint john,45.2727,-66.0677,-0.43,74,75,1.54,CA,1733176927
177,fortaleza,-3.7227,-38.5247,28.07,74,40,3.6,BR,1733177042
178,hamilton,39.1834,-84.5333,0.05,59,100,4.12,US,1733177030
179,doka,13.5167,35.7667,25.42,34,0,4.34,SD,1733177152
180,ierapetra,35.01,25.7353,13.41,83,26,0.89,GR,1733177153
181,luderitz,-26.6481,15.1594,19.87,65,55,9.98,NA,1733177154
182,volchikha,52.0333,80.3833,-14.81,100,91,1.81,RU,1733177156
183,talnakh,69.4865,88.3972,-12.36,91,100,5.64,RU,1733177157
184,brokopondo,4.75,-55.1667,26.59,78,100,4.27,SR,1733177158
185,longyearbyen,78.2186,15.6401,-11.09,52,40,6.17,SJ,1733177159
186,brisas de zicatela,15.8369,-97.0419,29.29,79,0,3.09,MX,1733177160
187,kendari,-3.945,122.4989,25.41,93,100,0.74,ID,1733177161
188,uturoa,-16.7333,-151.4333,27.59,77,84,5.95,PF,1733177163
189,hami,42.8,93.45,-1.33,76,100,2.6,CN,1733177164
190,afaahiti,-17.75,-149.2833,25.94,77,97,6.08,PF,1733177165
191,ishim,56.1128,69.4902,-8.68,95,94,4.43,RU,1733177166
192,vom,9.7333,8.7833,16.74,36,5,3.15,NG,1733177167
193,berezovyy,51.6667,135.7,-11.8,97,100,1.31,RU,1733177169
194,tonota,-21.4833,27.4833,24.99,22,2,3.44,BW,1733177170
195,galesong,-5.3166,119.3661,26.96,82,100,4.47,ID,1733177171
196,noosa heads,-26.3833,153.15,25.44,72,78,2.93,AU,1733177172
197,meulaboh,4.1363,96.1285,23.89,92,100,1.44,ID,1733177173
198,machico,32.7,-16.7667,19.35,63,20,6.17,PT,1733177174
199,kerikeri,-35.2268,173.9474,20.12,58,86,2.7,NZ,1733177175
200,san patricio,28.017,-97.5169,20.97,43,100,6.38,US,1733177177
201,bangassou,4.7413,22.8184,21.14,50,17,0.75,CF,1733177178
202,shimoda,34.6667,138.95,14.47,65,0,7.45,JP,1733177179
203,tolanaro,-25.0319,46.9987,25.04,83,20,8.23,MG,1733177180
204,totness,5.8833,-56.3167,26.74,81,99,6.09,SR,1733177181
205,mount gambier,-37.8333,140.7667,16.1,95,100,4.45,AU,1733177183
206,alice springs,-23.7,133.8833,26.75,65,0,5.14,AU,1733177185
207,baja,46.175,18.9564,6.02,66,86,3.01,HU,1733177187
208,west island,-12.1568,96.8225,25.99,94,40,0.0,CC,1733177188
209,leh,34.1667,77.5833,-10.71,65,11,1.99,IN,1733177189
210,dwarka,22.2394,68.9678,24.01,48,2,4.85,IN,1733177190
211,road town,18.4167,-64.6167,28.02,78,40,4.12,VG,1733177191
212,buka,40.8108,69.1986,4.01,68,37,2.08,UZ,1733177193
213,hithadhoo,-0.6,73.0833,27.62,78,100,8.9,MV,1733177194
214,pacific grove,36.6177,-121.9166,20.91,75,0,3.6,US,1733177195
215,gazli,40.1333,63.45,4.31,70,27,2.96,UZ,1733177196
216,corner brook,48.9667,-57.9484,-5.57,94,34,1.67,CA,1733177197
217,laojunmiao,39.8333,97.7333,-8.22,52,55,3.65,CN,1733177198
218,port-vila,-17.7338,168.3219,23.78,100,75,3.6,VU,1733177199
219,chuguyevka,44.1653,133.8633,-18.19,97,76,1.91,RU,1733177201
220,atafu village,-8.5421,-172.5159,27.62,79,28,6.96,TK,1733177202
221,saint-pierre,-21.3393,55.4781,23.82,73,20,2.06,RE,1733177203
222,athens,37.9795,23.7162,13.42,82,40,2.68,GR,1733177029
223,kujang-up,39.8672,126.0303,-4.26,49,3,1.44,KP,1733177205
224,kailua-kona,19.6406,-155.9956,27.98,63,0,4.63,US,1733177099
225,severo-yeniseyskiy,60.3725,93.0408,-12.64,94,100,2.45,RU,1733177207
226,codrington,-38.2667,141.9667,20.15,92,100,6.65,AU,1733177210
227,huanggang,23.677,116.9996,15.98,69,1,1.93,CN,1733177211
228,fort mcmurray,56.7268,-111.381,-10.27,85,100,5.14,CA,1733177212
229,igarka,67.4667,86.5833,-15.24,95,98,5.65,RU,1733177213
230,nueva gerona,21.8833,-82.8,22.04,49,100,8.87,CU,1733177214
231,betong,5.7743,101.0723,21.26,99,95,0.82,TH,1733177216
232,nova sintra,14.8667,-24.7167,25.58,64,81,10.11,CV,1733177217
233,puerto leguizamo,-0.1934,-74.7819,30.67,62,62,0.89,CO,1733177218
234,la'ie,21.6477,-157.9253,28.95,66,90,0.89,US,1733177219
235,tura,25.5198,90.2201,15.03,87,0,1.65,IN,1733177220
236,lata,40.1629,-8.3327,9.85,99,70,0.81,PT,1733177221
237,rio grande,-32.035,-52.0986,20.33,65,2,6.41,BR,1733177222
238,haapajarvi,63.75,25.3333,-0.88,78,100,2.71,FI,1733177224
239,gadzhiyevo,69.2551,33.3362,0.29,81,100,4.59,RU,1733177225
240,ostiglia,45.0712,11.1374,2.8,92,27,0.63,IT,1733177226
241,north platte,41.1239,-100.7654,-3.06,43,100,4.12,US,1733177227
242,bandarbeyla,9.4942,50.8122,25.15,69,72,6.15,SO,1733177228
243,ribeira brava,32.65,-17.0667,19.35,51,1,2.81,PT,1733177229
244,taltal,-25.4,-70.4833,18.62,72,44,2.91,CL,1733177231
245,ust'-kut,56.7938,105.7672,-33.01,100,8,1.09,RU,1733177232
246,isafjordur,66.0755,-23.124,-4.99,92,100,5.84,IS,1733177233
247,amungan,15.3652,119.9582,26.55,77,45,1.34,PH,1733177234
248,auki,-8.7676,160.7034,28.63,72,46,0.82,SB,1733177235
249,port alfred,-33.5906,26.891,15.66,92,100,2.91,ZA,1733177236
250,campamento,14.55,-86.65,20.41,96,100,0.75,HN,1733177237
251,tazacorte,28.629,-17.9293,21.75,50,100,4.63,ES,1733177239
252,kowon-up,39.4381,127.2431,-1.42,49,83,3.45,KP,1733177240
253,jamestown,42.097,-79.2353,-1.66,96,100,5.14,US,1733177241
254,piacabucu,-10.4056,-36.4344,25.83,83,7,5.1,BR,1733176966
255,ambon,-3.6954,128.1814,27.71,95,40,2.57,ID,1733177245
256,businga,3.3333,20.8833,23.17,57,8,0.8,CD,1733177246
257,banda aceh,5.5577,95.3222,25.45,80,100,2.19,ID,1733177247
258,kon tum,14.35,108.0,17.04,97,87,1.03,VN,1733177249
259,badger,64.8,-147.5333,-17.05,76,40,1.54,US,1733177250
260,nemuro,43.3236,145.575,9.46,83,100,10.48,JP,1733177251
261,villa gesell,-37.2639,-56.973,11.12,83,78,10.38,AR,1733177097
262,richards bay,-28.783,32.0377,20.99,83,100,3.28,ZA,1733177057
263,abu jibeha,11.4562,31.2285,22.41,21,6,3.15,SD,1733177256
264,concepcion del oro,24.6333,-101.4167,17.72,30,39,4.06,MX,1733177257
265,tralee,52.2704,-9.7026,4.48,85,100,2.23,IE,1733177258
266,eynesil,41.0645,39.1438,7.52,62,0,2.55,TR,1733177259
267,mizdah,31.4451,12.9801,10.56,65,100,2.82,LY,1733177260
268,ubinskoye,55.3068,79.6802,-8.22,94,100,6.36,RU,1733177261
